c_date,iso2,iso3,code3,FIPS,Province_State,Country_Region,Population,Death
3/8/21,US,USA,840,1,Alabama,US,4903185,10148
3/9/21,US,USA,840,1,Alabama,US,4903185,10186
3/10/21,US,USA,840,1,Alabama,US,4903185,10222
3/11/21,US,USA,840,1,Alabama,US,4903185,10274
3/12/21,US,USA,840,1,Alabama,US,4903185,10299
3/13/21,US,USA,840,1,Alabama,US,4903185,10327
3/14/21,US,USA,840,1,Alabama,US,4903185,10327
3/15/21,US,USA,840,1,Alabama,US,4903185,10329
3/16/21,US,USA,840,1,Alabama,US,4903185,10337
3/17/21,US,USA,840,1,Alabama,US,4903185,10363
3/18/21,US,USA,840,1,Alabama,US,4903185,10391
3/19/21,US,USA,840,1,Alabama,US,4903185,10425
3/20/21,US,USA,840,1,Alabama,US,4903185,10436
3/21/21,US,USA,840,1,Alabama,US,4903185,10436
3/22/21,US,USA,840,1,Alabama,US,4903185,10436
3/23/21,US,USA,840,1,Alabama,US,4903185,10450
3/24/21,US,USA,840,1,Alabama,US,4903185,10487
3/25/21,US,USA,840,1,Alabama,US,4903185,10504
3/26/21,US,USA,840,1,Alabama,US,4903185,10523
3/27/21,US,USA,840,1,Alabama,US,4903185,10526
3/28/21,US,USA,840,1,Alabama,US,4903185,10526
3/29/21,US,USA,840,1,Alabama,US,4903185,10526
3/30/21,US,USA,840,1,Alabama,US,4903185,10527
3/31/21,US,USA,840,1,Alabama,US,4903185,10554
4/1/21,US,USA,840,1,Alabama,US,4903185,10553
4/2/21,US,USA,840,1,Alabama,US,4903185,10607
4/3/21,US,USA,840,1,Alabama,US,4903185,10637
4/4/21,US,USA,840,1,Alabama,US,4903185,10637
4/5/21,US,USA,840,1,Alabama,US,4903185,10638
4/6/21,US,USA,840,1,Alabama,US,4903185,10652
4/7/21,US,USA,840,1,Alabama,US,4903185,10652
4/8/21,US,USA,840,1,Alabama,US,4903185,10675
4/9/21,US,USA,840,1,Alabama,US,4903185,10686
4/10/21,US,USA,840,1,Alabama,US,4903185,10712
4/11/21,US,USA,840,1,Alabama,US,4903185,10712
4/12/21,US,USA,840,1,Alabama,US,4903185,10712
4/13/21,US,USA,840,1,Alabama,US,4903185,10722
4/14/21,US,USA,840,1,Alabama,US,4903185,10728
4/15/21,US,USA,840,1,Alabama,US,4903185,10736
4/16/21,US,USA,840,1,Alabama,US,4903185,10739
4/17/21,US,USA,840,1,Alabama,US,4903185,10790
4/18/21,US,USA,840,1,Alabama,US,4903185,10790
4/19/21,US,USA,840,1,Alabama,US,4903185,10790
4/20/21,US,USA,840,1,Alabama,US,4903185,10798
4/21/21,US,USA,840,1,Alabama,US,4903185,10807
4/22/21,US,USA,840,1,Alabama,US,4903185,10824
4/23/21,US,USA,840,1,Alabama,US,4903185,10840
4/24/21,US,USA,840,1,Alabama,US,4903185,10851
4/25/21,US,USA,840,1,Alabama,US,4903185,10851
4/26/21,US,USA,840,1,Alabama,US,4903185,10852
4/27/21,US,USA,840,1,Alabama,US,4903185,10854
4/28/21,US,USA,840,1,Alabama,US,4903185,10879
4/29/21,US,USA,840,1,Alabama,US,4903185,10887
4/30/21,US,USA,840,1,Alabama,US,4903185,10896
5/1/21,US,USA,840,1,Alabama,US,4903185,10913
5/2/21,US,USA,840,1,Alabama,US,4903185,10913
5/3/21,US,USA,840,1,Alabama,US,4903185,10913
5/4/21,US,USA,840,1,Alabama,US,4903185,10913
5/5/21,US,USA,840,1,Alabama,US,4903185,10930
5/6/21,US,USA,840,1,Alabama,US,4903185,10946
5/7/21,US,USA,840,1,Alabama,US,4903185,10966
5/8/21,US,USA,840,1,Alabama,US,4903185,10978
5/9/21,US,USA,840,1,Alabama,US,4903185,10978
5/10/21,US,USA,840,1,Alabama,US,4903185,10978
5/11/21,US,USA,840,1,Alabama,US,4903185,10985
5/12/21,US,USA,840,1,Alabama,US,4903185,10997
5/13/21,US,USA,840,1,Alabama,US,4903185,11001
5/14/21,US,USA,840,1,Alabama,US,4903185,11024
5/15/21,US,USA,840,1,Alabama,US,4903185,11038
5/16/21,US,USA,840,1,Alabama,US,4903185,11038
